file,class,method,variable,usage
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/main/java/org/apache/logging/log4j/core/lookup/StrMatcher.java,org.apache.logging.log4j.core.lookup.StrMatcher$CharMatcher,"isMatch/4[char[],int,int,int]",ch,1
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/main/java/org/apache/logging/log4j/core/lookup/StrMatcher.java,org.apache.logging.log4j.core.lookup.StrMatcher$CharMatcher,CharMatcher/1[char],ch,4
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,start/0,m_status,1
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,start/0,m_elapsedTime,1
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,start/0,m_startTime,1
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,resume/0,m_status,1
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,resume/0,m_startTime,1
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,toString/0,m_iterations,2
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,toString/0,m_name,1
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,toString/0,m_status,5
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,toString/0,m_elapsedTime,2
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,toString/0,NANO_PER_MINUTE,4
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,toString/0,NANO_PER_HOUR,4
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,toString/0,NANO_PER_SECOND,4
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,stop/0,m_status,1
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,stop/0,m_elapsedTime,1
