file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/main/java/org/apache/logging/log4j/core/lookup/StrMatcher.java,org.apache.logging.log4j.core.lookup.StrMatcher$CharMatcher,"isMatch/4[char[],int,int,int]",false,332,1,0,0,0,2,0,3,1,0,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,32,1,0,true
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/main/java/org/apache/logging/log4j/core/lookup/StrMatcher.java,org.apache.logging.log4j.core.lookup.StrMatcher$CharMatcher,CharMatcher/1[char],true,317,0,3,3,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,true
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,start/0,false,63,0,5,5,0,1,1,5,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0,7,1,0,true
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,resume/0,false,93,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,7,1,0,true
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,toString/0,false,141,0,5,5,0,12,4,59,1,7,0,4,0,0,0,0,0,0,25,7,30,21,3,0,0,0,46,1,0,true
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,stop/0,false,73,0,5,5,0,1,1,5,0,0,0,1,0,0,0,0,0,0,1,1,3,1,0,0,0,0,8,1,0,true
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,getName/0,false,103,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,getElapsedTime/0,false,113,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,1,0,true
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,"Timer/2[java.lang.String,int]",true,52,0,5,5,0,2,0,6,0,0,2,0,0,0,0,0,0,1,1,3,4,0,0,0,0,0,9,1,0,true
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,equals/1[java.lang.Object],false,229,1,0,0,0,7,1,10,7,1,1,1,0,0,0,7,0,1,0,0,1,0,1,0,0,0,14,1,0,false
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,Timer/1[java.lang.String],true,42,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,true
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,getElapsedNanoTime/0,false,123,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,pause/0,false,83,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,1,1,3,1,0,0,0,0,8,1,0,true
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,hashCode/0,false,243,0,0,0,0,3,1,8,1,1,0,1,0,0,0,2,0,6,0,7,4,8,0,0,0,0,10,1,0,false
