file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/main/example/ServerStressTest.java,ServerStressTest$Anonymous1,anonymous,1,1,0,1,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,-1,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/test/java/org/java_websocket/util/ByteBufferUtilsTest.java,org.java_websocket.util.ByteBufferUtilsTest,class,3,4,1,3,12,1,0,10,8,0.5625,0.35714287,0.35714287,8,0,8,0,0,0,8,0,0,0,2,2,0,2,0,0,0,0,17,72,0,0,1,3,0,23,44,13,0,13,1,0,0,0,52,1,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/main/java/org/java_websocket/server/WebSocketServer.java,org.java_websocket.server.WebSocketServer,class,17,46,29,17,158,4,12,141,1629,0.9247311,0.060283687,0.22429077,62,0,42,14,6,0,48,5,8,0,15,2,0,14,1,0,6,0,15,583,30,8,39,14,3,11,15,56,6,45,5,0,1,0,442,1025,7
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/test/java/org/java_websocket/issues/AllIssueTests.java,org.java_websocket.issues.AllIssueTests,class,15,16,1,15,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/test/java/org/java_websocket/protocols/ProtoclHandshakeRejectionTest.java,org.java_websocket.protocols.ProtoclHandshakeRejectionTest$Anonymous2,anonymous,2,2,0,2,24,1,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,2,0,0,9,18,2,2,0,1,0,0,0,33,-1,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/test/java/org/java_websocket/protocols/ProtoclHandshakeRejectionTest.java,org.java_websocket.protocols.ProtoclHandshakeRejectionTest$Anonymous1,anonymous,2,2,0,2,28,1,0,15,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,120,0,2,0,2,0,64,4,13,20,8,5,0,0,0,33,-1,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/test/java/org/java_websocket/framing/AllFramingTests.java,org.java_websocket.framing.AllFramingTests,class,10,11,1,10,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/test/java/org/java_websocket/issues/Issue661Test.java,org.java_websocket.issues.Issue661Test$TestPrintStream,innerclass,0,0,0,0,2,4,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/main/java/org/java_websocket/WebSocketListener.java,org.java_websocket.WebSocketListener,interface,7,10,3,7,15,1,0,0,105,0.0,0.0,0.0,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,1,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/Java-WebSocket/src/test/java/org/java_websocket/autobahn/AutobahnServerResultsTest.java,org.java_websocket.autobahn.AutobahnServerResultsTest,class,3,3,0,3,607,1,0,8,0,0.0,1.0,1.0,303,1,303,0,0,0,303,0,0,0,1,1,0,0,0,1,0,0,0,1824,0,0,1,0,0,2419,302,307,302,305,1,0,0,0,68,1,0
