file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/main/java/org/apache/logging/log4j/core/lookup/StrMatcher.java,org.apache.logging.log4j.core.lookup.StrMatcher$CharMatcher,innerclass,2,2,0,2,3,2,0,0,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,1,0,0,0,2,1,0,1,0,0,0,0,46,24,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,class,1,4,3,1,33,1,0,6,0,0.673077,0.67948717,0.84615386,13,0,13,0,0,0,13,0,0,0,8,3,0,8,0,0,0,0,4,127,13,0,9,0,8,30,25,53,34,17,3,0,0,0,78,1,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/main/java/org/apache/logging/log4j/core/appender/DefaultErrorHandler.java,org.apache.logging.log4j.core.appender.DefaultErrorHandler,class,6,7,1,6,14,1,0,5,0,0.25,0.8333333,1.0,4,0,4,0,0,0,4,0,0,0,6,3,0,6,0,0,2,0,4,38,0,0,2,0,0,0,3,11,3,9,1,0,0,0,44,1,3
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/main/java/org/apache/logging/log4j/core/config/Configuration.java,org.apache.logging.log4j.core.config.Configuration,interface,4,15,11,4,12,1,0,0,66,0.0,0.0,0.0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-api/src/main/java/org/apache/logging/log4j/message/LoggerNameAwareMessage.java,org.apache.logging.log4j.message.LoggerNameAwareMessage,interface,0,2,2,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/main/java/org/apache/logging/log4j/core/lookup/StrMatcher.java,org.apache.logging.log4j.core.lookup.StrMatcher$StringMatcher,innerclass,2,2,0,2,5,2,0,1,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,19,3,1,1,0,0,0,3,3,1,3,2,0,0,0,57,24,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/main/java/org/apache/logging/log4j/core/config/Node.java,org.apache.logging.log4j.core.config.Node,class,2,5,3,2,17,1,0,5,65,0.8265306,0.14285715,0.32967034,14,0,14,0,0,0,14,0,0,0,7,0,0,7,0,0,0,0,0,52,10,0,1,0,0,1,1,7,1,7,0,0,0,0,41,1,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j12-api/src/main/java/org/apache/log4j/Level.java,org.apache.log4j.Level,class,2,8,6,2,28,2,2,12,16,0.7625,0.1,0.1,8,4,4,3,1,0,5,0,0,0,10,10,9,0,0,1,10,0,3,78,24,0,3,0,0,18,10,15,0,11,1,0,0,0,136,1,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/layout/pattern/PatternParserTest.java,org.apache.logging.log4j.core.layout.pattern.PatternParserTest,class,8,9,1,8,4,1,0,10,1,0.8888889,1.0,1.0,3,0,2,1,0,0,2,0,0,0,12,4,0,8,0,4,1,0,1,28,0,0,1,0,0,15,3,14,1,14,0,0,0,0,51,1,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/main/java/org/apache/logging/log4j/core/config/plugins/ResolverUtil.java,org.apache.logging.log4j.core.config.plugins.ResolverUtil$AnnotatedWith,innerclass,1,1,0,1,4,2,0,2,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,2,0,1,0,0,1,0,1,1,1,0,0,0,0,34,9,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/main/java/org/apache/logging/log4j/core/LoggerFactory.java,org.apache.logging.log4j.core.LoggerFactory,interface,2,6,4,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
