file,class,method,variable,usage
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/main/java/org/apache/logging/log4j/core/lookup/StrMatcher.java,org.apache.logging.log4j.core.lookup.StrMatcher$CharMatcher,"isMatch/4[char[],int,int,int]",bufferEnd,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/main/java/org/apache/logging/log4j/core/lookup/StrMatcher.java,org.apache.logging.log4j.core.lookup.StrMatcher$CharMatcher,"isMatch/4[char[],int,int,int]",pos,1
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/main/java/org/apache/logging/log4j/core/lookup/StrMatcher.java,org.apache.logging.log4j.core.lookup.StrMatcher$CharMatcher,"isMatch/4[char[],int,int,int]",buffer,1
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/main/java/org/apache/logging/log4j/core/lookup/StrMatcher.java,org.apache.logging.log4j.core.lookup.StrMatcher$CharMatcher,"isMatch/4[char[],int,int,int]",bufferStart,0
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/main/java/org/apache/logging/log4j/core/lookup/StrMatcher.java,org.apache.logging.log4j.core.lookup.StrMatcher$CharMatcher,CharMatcher/1[char],ch,2
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,toString/0,result,7
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,toString/0,elapsed,11
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,toString/0,numFormat,8
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,toString/0,hours,7
/home/roberto/Desktop/ProgettoEQS/UseCK/./project_to_analize/log4j/log4j2-core/src/test/java/org/apache/logging/log4j/core/Timer.java,org.apache.logging.log4j.core.Timer,toString/0,seconds,3
